"year","month","model","registrations","market_share"
2024,9,"SEAT LEON",5,0
2024,9,"VOLVO V90",5,0
2024,9,"BYD TANG",4,0
2024,9,"JEEP AVENGER",4,0
2024,9,"MAZDA CX-80",4,0
2024,9,"MAZDA MX-5",4,0
2024,9,"VOLKSWAGEN ID. BUZZ",4,0
2024,9,"VOLVO XC90",4,0
2024,9,"DS 4",3,0
2024,9,"LAND ROVER RANGE ROVER SPORT",3,0
2024,9,"LOTUS ELETRE",3,0
2024,9,"MERCEDES-BENZ VITO",3,0
2024,9,"PORSCHE 911",3,0
2024,9,"PORSCHE PANAMERA",3,0
2024,9,"TESLA MODEL S",3,0
2024,9,"AIWAYS U5",2,0
2024,9,"BMW I7",2,0
2024,9,"BMW X4",2,0
2024,9,"BMW XM",2,0
2024,9,"CITROEN C5 AIRCROSS",2,0
2024,9,"DACIA DUSTER",2,0
2024,9,"HDK NRG CAR",2,0
2024,9,"HONDA JAZZ",2,0
2024,9,"JIA JI JJ2000DBP",2,0
2024,9,"LAND ROVER RANGE ROVER",2,0
2024,9,"LAND ROVER RANGE ROVER EVOQUE",2,0
2024,9,"LEXUS UX",2,0
2024,9,"MERCEDES-BENZ V-KLASSE",2,0
2024,9,"MG CYBERSTER",2,0
2024,9,"OPEL ZAFIRA",2,0
2024,9,"SUZUKI S-CROSS",2,0
2024,9,"TOYOTA PRIUS",2,0
2024,9,"VOLKSWAGEN CADDY",2,0
2024,9,"VOLVO S60",2,0
2024,9,"AUDI E-TRON",1,0
2024,9,"AUDI E-TRON GT",1,0
2024,9,"EAGLE GOLF CAR",1,0
2024,9,"FERRARI PUROSANGUE",1,0
2024,9,"FORD TOURNEO",1,0
2024,9,"HISUN HS",1,0
2024,9,"HYUNDAI BAYON",1,0
2024,9,"KTM X-BOW GT-XR",1,0
2024,9,"LAMBORGHINI HURACÁN",1,0
2024,9,"LAND ROVER DISCOVERY",1,0
2024,9,"LAND ROVER RANGE ROVER VELAR",1,0
2024,9,"LEXUS NX",1,0
2024,9,"LEXUS RX",1,0
2024,9,"LOTUS EMEYA",1,0
2024,9,"MAN TGE",1,0
2024,9,"MASERATI GRANCABRIO",1,0
2024,9,"MAXUS EUNIQ5",1,0
2024,9,"MERCEDES-BENZ AMG GT",1,0
