"year","month","brand","ytd_electric_registrations","ytd_hybrid_registrations","ytd_plugin_registrations","ytd_diesel_plugin_registrations","ytd_registrations"
2023,7,"WELTMEISTER",3,0,0,0,3
2023,7,"JAGUAR",1,0,1,0,2
2023,7,"CHERY",2,0,0,0,2
2023,7,"FORD",0,1,0,0,1
2023,7,"ABARTH",0,0,0,0,0
2023,7,"ASTON_MARTIN",0,0,0,0,0
2023,7,"BENTLEY",0,0,0,0,0
2023,7,"JEEP",0,0,0,0,0
2023,7,"MASERATI",0,0,0,0,0
2023,7,"SUBARU",0,0,0,0,0
2023,7,"MAZDA",0,0,0,0,0
2023,7,"SSANGYONG",0,0,0,0,0
2023,7,"MAN",0,0,0,0,0
2023,7,"CADILLAC",0,0,0,0,0
2023,7,"CHEVROLET",0,0,0,0,0
2023,7,"ISUZU",0,0,0,0,0
2023,7,"INFINITI",0,0,0,0,0
2023,7,"ALFA_ROMEO",0,0,0,0,0
2023,7,"SEAT",0,0,0,0,0
2023,7,"DACIA",0,0,0,0,0
2023,7,"ALPINE",0,0,0,0,0
2023,8,"TOYOTA",744,17026,215,0,17985
2023,8,"HYUNDAI",3879,8547,0,0,12426
2023,8,"BYDAUTO",12169,0,0,0,12169
2023,8,"KIA",767,454,6904,0,8125
2023,8,"SUZUKI",0,6560,0,0,6560
2023,8,"GEELY",5581,0,0,0,5581
2023,8,"TESLA",4948,0,0,0,4948
2023,8,"MG",1411,0,2415,0,3826
2023,8,"MERCEDES_BENZ",852,0,600,84,1536
2023,8,"SKODA",1333,0,55,0,1388
2023,8,"LEXUS",36,834,341,0,1211
2023,8,"BMW",209,0,651,0,860
2023,8,"VOLVO",260,0,453,0,713
2023,8,"ORA",710,0,0,0,710
2023,8,"NISSAN",0,641,0,0,641
2023,8,"SERES",629,0,0,0,629
2023,8,"SKYWELL",541,0,0,0,541
2023,8,"HONDA",0,489,0,0,489
2023,8,"GENESIS",459,0,0,0,459
2023,8,"VOLKSWAGEN",412,0,0,0,412
2023,8,"LEAPMOTOR",408,0,0,0,408
2023,8,"AUDI",344,2,53,0,399
2023,8,"AIWAYS",369,0,0,0,369
2023,8,"WEY",0,0,337,0,337
2023,8,"LYNKCO",0,0,335,0,335
2023,8,"FIAT",308,0,0,0,308
2023,8,"MAXUS",225,0,0,0,225
2023,8,"POLESTAR",193,0,0,0,193
2023,8,"EVEASY",179,0,0,0,179
2023,8,"RENAULT",0,173,0,0,173
2023,8,"CITROEN",165,0,0,0,165
2023,8,"JAC",140,0,0,0,140
2023,8,"VOYAH",118,0,0,0,118
2023,8,"PEUGEOT",71,0,43,0,114
2023,8,"MITSUBISHI",0,0,102,0,102
