"year","month","brand","model","ytd_registrations","ytd_market_share"
2023,7,"AUDI","E-TRON",76,0.2
2023,7,"MAZDA","MX-30",76,0.2
2023,7,"CITROEN","BERLINGO",61,0.2
2023,7,"CITROEN","SPACETOURER",46,0.1
2023,7,"FIAT","ULYSSE",45,0.1
2023,7,"MERCEDES","EQS SUV",44,0.1
2023,7,"BYD","ATTO 3",42,0.1
2023,7,"TOYOTA","PROACE VERSO",40,0.1
2023,7,"FIAT","600",37,0.1
2023,7,"MERCEDES","EQS",37,0.1
2023,7,"HYUNDAI","IONIQ 6",33,0.1
2023,7,"JAGUAR","I-PACE",33,0.1
2023,7,"MERCEDES","EQC",31,0.1
2023,7,"LEXUS","RZ",29,0.1
2023,7,"TOYOTA","BZ4X",29,0.1
2023,7,"BMW","I7",25,0.1
2023,7,"MELEX","378",25,0.1
2023,7,"HONDA","E",23,0.1
2023,7,"MERCEDES","EQV",20,0.1
2023,7,"SUBARU","SOLTERRA",17,0
2023,7,"AUDI","E-TRON GT",16,0
2023,7,"PEUGEOT","RIFTER",16,0
2023,7,"MELEX","N.CAR",14,0
2023,7,"ISSIMA","SAETTA",11,0
2023,7,"OPEL","ZAFIRA LIFE",11,0
2023,7,"EAGLE BUS","JET-SH6-21",10,0
2023,8,"TESLA","MODEL Y",6163,15
2023,8,"TESLA","MODEL 3",4500,11
2023,8,"FIAT","500",3337,8.1
2023,8,"SMART","FORTWO",2883,7
2023,8,"MG","MG4",1515,3.7
2023,8,"RENAULT","MEGANE",1479,3.6
2023,8,"PEUGEOT","208",1327,3.2
2023,8,"RENAULT","TWINGO",1277,3.1
2023,8,"DACIA","SPRING",1251,3
2023,8,"AUDI","Q4",1167,2.8
2023,8,"OPEL","CORSA",1138,2.8
2023,8,"VOLKSWAGEN","ID.3",868,2.1
2023,8,"MINI","MINI",722,1.8
2023,8,"BMW","IX1",655,1.6
2023,8,"JEEP","AVENGER",655,1.6
2023,8,"VOLKSWAGEN","ID.4",650,1.6
2023,8,"PEUGEOT","2008",639,1.6
2023,8,"POLESTAR","POLESTAR 2",633,1.5
2023,8,"CUPRA","BORN",577,1.4
2023,8,"MERCEDES","EQA",541,1.3
2023,8,"FORD","MUSTANG MK-E",524,1.3
2023,8,"HYUNDAI","KONA",498,1.2
2023,8,"VOLVO","XC40",477,1.2
2023,8,"BMW","I4",439,1.1
2023,8,"OPEL","MOKKA",434,1.1
2023,8,"VOLKSWAGEN","ID.5",423,1
2023,8,"MG","MARVEL R",330,0.8
2023,8,"CITROEN","C4",304,0.7
2023,8,"RENAULT","ZOE",296,0.7
2023,8,"TESLA","MODEL S",281,0.7
2023,8,"MERCEDES","EQB",275,0.7
2023,8,"SKODA","ENYAQ",263,0.6
2023,8,"BMW","IX",254,0.6
2023,8,"NISSAN","LEAF",249,0.6
2023,8,"PORSCHE","TAYCAN",248,0.6
2023,8,"BMW","IX3",231,0.6
2023,8,"MERCEDES","EQE",195,0.5
2023,8,"VOLKSWAGEN","ID BUZZ",191,0.5
2023,8,"MG","ZS",184,0.4
2023,8,"TESLA","MODEL X",181,0.4
2023,8,"DR","EQ1",176,0.4
2023,8,"KIA","EV6",170,0.4
2023,8,"VOLVO","C40",170,0.4
2023,8,"AUDI","Q8",169,0.4
2023,8,"CITROEN","C4 X",159,0.4
2023,8,"KIA","NIRO",157,0.4
2023,8,"FIAT","DOBLO",155,0.4
2023,8,"TOYOTA","PROACE CITY",155,0.4
2023,8,"HYUNDAI","IONIQ 5",127,0.3
2023,8,"SMART","#1",120,0.3
2023,8,"NISSAN","ARIYA",86,0.2
2023,8,"DS","DS3",83,0.2
2023,8,"MG","MG5",82,0.2
2023,8,"MAZDA","MX-30",80,0.2
2023,8,"AUDI","E-TRON",76,0.2
2023,8,"CITROEN","BERLINGO",63,0.2
2023,8,"BYD","ATTO 3",56,0.1
2023,8,"CITROEN","SPACETOURER",50,0.1
2023,8,"MERCEDES","EQS SUV",48,0.1
2023,8,"FIAT","ULYSSE",46,0.1
2023,8,"HYUNDAI","IONIQ 6",46,0.1
2023,8,"FIAT","600",42,0.1
2023,8,"TOYOTA","PROACE VERSO",40,0.1
2023,8,"MERCEDES","EQS",39,0.1
2023,8,"JAGUAR","I-PACE",34,0.1
2023,8,"MERCEDES","EQC",31,0.1
2023,8,"LEXUS","RZ",30,0.1
2023,8,"TOYOTA","BZ4X",29,0.1
2023,8,"BMW","I7",28,0.1
2023,8,"MELEX","378",26,0.1
2023,8,"HONDA","E",23,0.1
2023,8,"AIWAYS","U5",22,0.1
2023,8,"MERCEDES","EQV",20,0
2023,8,"AUDI","E-TRON GT",17,0
2023,8,"PEUGEOT","RIFTER",17,0
2023,8,"SUBARU","SOLTERRA",17,0
2023,8,"MELEX","N.CAR",16,0
2023,8,"ISSIMA","SAETTA",11,0
2023,8,"OPEL","COMBO",11,0
2023,8,"OPEL","ZAFIRA LIFE",11,0
2023,9,"TESLA","MODEL Y",6966,15.1
2023,9,"TESLA","MODEL 3",4533,9.8
2023,9,"FIAT","500",3618,7.9
2023,9,"SMART","FORTWO",3295,7.2
2023,9,"RENAULT","MEGANE",1610,3.5
2023,9,"MG","MG4",1600,3.5
2023,9,"PEUGEOT","208",1434,3.1
2023,9,"DACIA","SPRING",1360,3
2023,9,"RENAULT","TWINGO",1358,2.9
2023,9,"AUDI","Q4",1332,2.9
2023,9,"OPEL","CORSA",1261,2.7
2023,9,"VOLKSWAGEN","ID.3",1150,2.5
2023,9,"MINI","MINI",837,1.8
2023,9,"BMW","IX1",790,1.7
2023,9,"CUPRA","BORN",780,1.7
2023,9,"POLESTAR","POLESTAR 2",767,1.7
2023,9,"JEEP","AVENGER",760,1.6
2023,9,"PEUGEOT","2008",742,1.6
2023,9,"VOLKSWAGEN","ID.4",710,1.5
2023,9,"MERCEDES","EQA",690,1.5
2023,9,"FORD","MUSTANG MK-E",689,1.5
2023,9,"HYUNDAI","KONA",647,1.4
2023,9,"VOLVO","XC40",512,1.1
2023,9,"BMW","I4",476,1
2023,9,"OPEL","MOKKA",453,1
2023,9,"VOLKSWAGEN","ID.5",446,1
2023,9,"MERCEDES","EQB",359,0.8
2023,9,"CITROEN","C4",351,0.8
2023,9,"MG","MARVEL R",334,0.7
2023,9,"TESLA","MODEL S",322,0.7
2023,9,"SKODA","ENYAQ",313,0.7
2023,9,"RENAULT","ZOE",309,0.7
2023,9,"PORSCHE","TAYCAN",305,0.7
2023,9,"BMW","IX",302,0.7
2023,9,"NISSAN","LEAF",286,0.6
2023,9,"DR","EQ1",250,0.5
2023,9,"BMW","IX3",242,0.5
2023,9,"AUDI","Q8",237,0.5
2023,9,"TESLA","MODEL X",211,0.5
2023,9,"VOLKSWAGEN","ID BUZZ",205,0.4
2023,9,"VOLVO","C40",205,0.4
2023,9,"MG","ZS",187,0.4
2023,9,"KIA","EV6",177,0.4
2023,9,"SMART","#1",173,0.4
2023,9,"CITROEN","C4 X",170,0.4
2023,9,"KIA","NIRO",164,0.4
2023,9,"MERCEDES","EQE",160,0.3
2023,9,"FIAT","DOBLO",158,0.3
2023,9,"TOYOTA","PROACE CITY",155,0.3
2023,9,"HYUNDAI","IONIQ 5",133,0.3
2023,9,"NISSAN","ARIYA",97,0.2
2023,9,"DS","DS3",88,0.2
2023,9,"MAZDA","MX-30",87,0.2
2023,9,"MG","MG5",82,0.2
2023,9,"AUDI","E-TRON GT",77,0.2
2023,9,"CITROEN","BERLINGO",72,0.2
2023,9,"MERCEDES","EQE SUV",68,0.1
2023,9,"MERCEDES","EQS SUV",62,0.1
