"year","month","region","country","registrations"
2024,6,"EUROPE","SPAIN",1638
2024,7,"EUROPE","SPAIN",551
2024,8,"EUROPE","SPAIN",549
2024,9,"EUROPE","SPAIN",2894
2024,10,"EUROPE","SPAIN",566
2024,11,"EUROPE","SPAIN",1669
2024,12,"EUROPE","SPAIN",3217
2025,1,"EUROPE","SPAIN",268
2025,2,"EUROPE","SPAIN",918
2025,3,"EUROPE","SPAIN",1983
2023,1,"EUROPE","BELGIUM",609
2023,2,"EUROPE","BELGIUM",812
2023,3,"EUROPE","BELGIUM",3045
2023,4,"EUROPE","BELGIUM",868
2023,5,"EUROPE","BELGIUM",995
2023,6,"EUROPE","BELGIUM",1868
2023,7,"EUROPE","BELGIUM",1235
2023,8,"EUROPE","BELGIUM",1505
2023,9,"EUROPE","BELGIUM",1128
2023,10,"EUROPE","BELGIUM",1104
2023,11,"EUROPE","BELGIUM",1460
2023,12,"EUROPE","BELGIUM",1383
2024,1,"EUROPE","BELGIUM",1826
2024,2,"EUROPE","BELGIUM",2272
2024,3,"EUROPE","BELGIUM",3121
2024,4,"EUROPE","BELGIUM",1276
2024,5,"EUROPE","BELGIUM",1261
2024,6,"EUROPE","BELGIUM",2505
2024,7,"EUROPE","BELGIUM",1088
2024,8,"EUROPE","BELGIUM",1247
2024,9,"EUROPE","BELGIUM",2013
2024,10,"EUROPE","BELGIUM",1373
2024,11,"EUROPE","BELGIUM",1691
2024,12,"EUROPE","BELGIUM",1509
2025,1,"EUROPE","BELGIUM",1008
2025,2,"EUROPE","BELGIUM",1053
2025,3,"EUROPE","BELGIUM",958
2023,1,"EUROPE","GREECE",43
2023,2,"EUROPE","GREECE",98
2023,3,"EUROPE","GREECE",336
2023,4,"EUROPE","GREECE",53
2023,5,"EUROPE","GREECE",242
2023,6,"EUROPE","GREECE",105
2023,7,"EUROPE","GREECE",32
2023,8,"EUROPE","GREECE",131
2023,9,"EUROPE","GREECE",333
2023,10,"EUROPE","GREECE",127
2023,11,"EUROPE","GREECE",98
2023,12,"EUROPE","GREECE",243
2024,1,"EUROPE","GREECE",57
2024,2,"EUROPE","GREECE",262
2024,3,"EUROPE","GREECE",184
2024,4,"EUROPE","GREECE",175
2024,5,"EUROPE","GREECE",97
2024,6,"EUROPE","GREECE",236
2024,7,"EUROPE","GREECE",132
2024,8,"EUROPE","GREECE",112
2024,9,"EUROPE","GREECE",294
2024,10,"EUROPE","GREECE",98
2024,11,"EUROPE","GREECE",155
2024,12,"EUROPE","GREECE",185
2025,1,"EUROPE","GREECE",64
2025,2,"EUROPE","GREECE",40
2025,3,"EUROPE","GREECE",215
2023,1,"EUROPE","LUXEMBOURG",94
2023,2,"EUROPE","LUXEMBOURG",96
2023,3,"EUROPE","LUXEMBOURG",233
2023,4,"EUROPE","LUXEMBOURG",115
2023,5,"EUROPE","LUXEMBOURG",89
2023,6,"EUROPE","LUXEMBOURG",147
2023,7,"EUROPE","LUXEMBOURG",150
2023,8,"EUROPE","LUXEMBOURG",146
2023,9,"EUROPE","LUXEMBOURG",182
2023,10,"EUROPE","LUXEMBOURG",171
2023,11,"EUROPE","LUXEMBOURG",105
2023,12,"EUROPE","LUXEMBOURG",197
2024,1,"EUROPE","LUXEMBOURG",122
2024,2,"EUROPE","LUXEMBOURG",127
2024,3,"EUROPE","LUXEMBOURG",273
2024,4,"EUROPE","LUXEMBOURG",132
2024,5,"EUROPE","LUXEMBOURG",89
2024,6,"EUROPE","LUXEMBOURG",253
2024,7,"EUROPE","LUXEMBOURG",79
2024,8,"EUROPE","LUXEMBOURG",103
2024,9,"EUROPE","LUXEMBOURG",134
2024,10,"EUROPE","LUXEMBOURG",154
2024,11,"EUROPE","LUXEMBOURG",92
2024,12,"EUROPE","LUXEMBOURG",119
2025,1,"EUROPE","LUXEMBOURG",68
2025,2,"EUROPE","LUXEMBOURG",73
2025,3,"EUROPE","LUXEMBOURG",108
2023,1,"EUROPE","ROMANIA",88
2023,2,"EUROPE","ROMANIA",52
2023,3,"EUROPE","ROMANIA",134
2023,4,"EUROPE","ROMANIA",260
2023,5,"EUROPE","ROMANIA",248
2023,6,"EUROPE","ROMANIA",323
2023,7,"EUROPE","ROMANIA",634
2023,8,"EUROPE","ROMANIA",509
2023,9,"EUROPE","ROMANIA",239
2023,10,"EUROPE","ROMANIA",218
2023,11,"EUROPE","ROMANIA",198
2023,12,"EUROPE","ROMANIA",251
2024,1,"EUROPE","ROMANIA",564
2024,2,"EUROPE","ROMANIA",295
2024,3,"EUROPE","ROMANIA",161
2024,4,"EUROPE","ROMANIA",205
2024,5,"EUROPE","ROMANIA",140
2024,6,"EUROPE","ROMANIA",108
2024,7,"EUROPE","ROMANIA",222
2024,8,"EUROPE","ROMANIA",218
2024,9,"EUROPE","ROMANIA",186
2024,10,"EUROPE","ROMANIA",164
2024,11,"EUROPE","ROMANIA",86
2024,12,"EUROPE","ROMANIA",201
