"year","month","brand","registrations","hb_registrations","sdn_registrations","mpv_registrations","stv_registrations","suv_registrations","cpe_conv_registrations"
2024,7,"TOYOTA",1,0,0,0,0,1,0
2024,7,"VOLKSWAGEN",19,0,0,0,0,19,0
2024,7,"VOLVO",36,0,0,0,0,36,0
2024,7,"XPENG",2,0,0,0,0,2,0
2024,7,"ZEEKR",2,0,0,0,0,2,0
2024,8,"AUDI",24,0,0,0,0,24,0
2024,8,"B.M.W.",146,0,31,0,2,113,0
2024,8,"BYD",504,5,128,8,0,363,0
2024,8,"CHERY",9,0,0,0,0,9,0
2024,8,"CITROEN",2,0,2,0,0,0,0
2024,8,"GAC",63,0,2,0,0,61,0
2024,8,"GREAT_WALL",14,14,0,0,0,0,0
2024,8,"HONDA",0,0,0,0,0,0,0
2024,8,"HYUNDAI",50,0,1,0,0,49,0
2024,8,"KIA",2,0,0,0,0,2,0
2024,8,"LOTUS",0,0,0,0,0,0,0
2024,8,"M.G.",52,19,0,2,0,31,0
2024,8,"MAXUS",4,0,0,4,0,0,0
2024,8,"MERCEDES_BENZ",63,0,23,1,0,39,0
2024,8,"MINI",18,8,0,0,10,0,0
2024,8,"NISSAN",2,1,0,0,0,1,0
2024,8,"OPEL",3,0,0,0,0,3,0
2024,8,"PEUGEOT",8,0,0,0,0,8,0
2024,8,"POLESTAR",4,0,2,0,0,2,0
2024,8,"PORSCHE",6,0,5,0,1,0,0
2024,8,"ROLLS_ROYCE",0,0,0,0,0,0,0
2024,8,"SERES",1,0,0,0,0,1,0
2024,8,"SKODA",7,0,0,0,0,7,0
2024,8,"SMART",2,0,0,0,0,2,0
2024,8,"TESLA",308,0,186,0,0,122,0
2024,8,"TOYOTA",0,0,0,0,0,0,0
2024,8,"VOLKSWAGEN",33,2,0,0,0,31,0
2024,8,"VOLVO",24,0,0,0,0,24,0
2024,8,"XPENG",43,0,0,0,0,43,0
2024,8,"ZEEKR",19,0,0,0,0,19,0
2024,9,"AUDI",13,0,0,0,0,13,0
2024,9,"B.M.W.",120,0,32,0,2,86,0
2024,9,"BYD",439,7,132,22,0,278,0
2024,9,"CHERY",11,0,0,0,0,11,0
2024,9,"CITROEN",7,0,7,0,0,0,0
2024,9,"GAC",42,0,1,0,0,41,0
2024,9,"GREAT_WALL",6,6,0,0,0,0,0
2024,9,"HONDA",0,0,0,0,0,0,0
2024,9,"HYUNDAI",35,0,12,0,0,23,0
2024,9,"KIA",8,0,0,0,0,8,0
2024,9,"LOTUS",0,0,0,0,0,0,0
2024,9,"M.G.",28,11,0,2,0,15,0
2024,9,"MAXUS",9,0,0,9,0,0,0
2024,9,"MERCEDES_BENZ",32,0,7,0,0,25,0
2024,9,"MINI",15,7,0,0,8,0,0
2024,9,"NISSAN",2,2,0,0,0,0,0
2024,9,"OPEL",6,0,0,3,0,3,0
2024,9,"PEUGEOT",5,0,0,0,0,5,0
2024,9,"POLESTAR",10,0,1,0,0,9,0
2024,9,"PORSCHE",15,1,10,0,2,0,2
